scheme,lat,lon
CHI-karekök,41.92247925268448,-87.69406361613737
CHI-karekök,41.96822725183964,-87.69150433072839
CHI-karekök,41.99584153413713,-87.69384500026467
CHI-karekök,42.013109026409126,-87.69342303921346
CHI-karekök,41.78766232239925,-87.68146772586665
CHI-karekök,41.852127831525635,-87.68126861609845
CHI-karekök,41.87888113156872,-87.68192570435048
CHI-karekök,41.931902456210075,-87.68190211540113
CHI-karekök,41.69034803977339,-87.66679767039332
CHI-karekök,41.723810869729945,-87.66398502655005
CHI-karekök,41.75161389904591,-87.66640590582615
CHI-karekök,41.77037627218822,-87.66718684855385
CHI-karekök,41.80679046026965,-87.66784276147344
CHI-karekök,41.83381025208079,-87.6686844467594
CHI-karekök,41.90525686049532,-87.66938814428312
CHI-karekök,42.01372156553959,-87.67045897433313
CHI-karekök,41.734797299540645,-87.65518995396212
CHI-karekök,41.788703012688025,-87.65514367728387
CHI-karekök,41.860657969011434,-87.65692583049696
CHI-karekök,41.88647458298079,-87.65588534308621
CHI-karekök,41.949106661767274,-87.65618346086667
CHI-karekök,41.96762089205945,-87.65731169774438
CHI-karekök,41.97697251574764,-87.65744766373788
CHI-karekök,41.99476148396258,-87.65882404846458
CHI-karekök,41.70798065251555,-87.64386437426539
CHI-karekök,41.75264176511637,-87.64498178299486
CHI-karekök,41.770063214166676,-87.64429564309908
CHI-karekök,41.77882387650729,-87.64461483377514
CHI-karekök,41.83442033565123,-87.64507305078394
CHI-karekök,41.878686000295616,-87.64412794786337
CHI-karekök,41.905736939786664,-87.64342267749451
CHI-karekök,41.924043667739845,-87.64423870411089
CHI-karekök,41.94112680436523,-87.64701823990227
CHI-karekök,41.67257129552263,-87.63084943756309
CHI-karekök,41.68972059714646,-87.63101017317207
CHI-karekök,41.72476511420222,-87.63044649206233
CHI-karekök,41.7357834780413,-87.62883118254062
CHI-karekök,41.75219547568742,-87.63201402962217
CHI-karekök,41.816236998325365,-87.63149299163108
CHI-karekök,41.87029562772949,-87.6299732949671
CHI-karekök,41.87920660413168,-87.63009943228747
CHI-karekök,41.887426188480205,-87.6305146568518
